"id","price","cost"
965,30000,25000
586,17000,12000
587,20000,13000
585,11500,11000
588,26000,17000
623,38000,30000
624,38000,30000
627,42000,32000
630,42000,32000
631,42000,32000
634,42000,34000
645,48000,37000
659,52000,40000
661,52500,40000
662,45000,40000
663,50000,40000
667,52500,45000
673,62000,52000
674,62000,52000
607,39000,32000
592,31000,29000
596,39000,31000
620,35000,32000
611,38000,30000
656,50000,40000
614,35000,30000
670,57000,52000
657,52000,41000
589,22000,18000
591,28000,23000
646,57500,40000
647,57500,40000
632,52000,38000
669,63000,52000
654,70000,44000
648,57500,40000
649,48750,40000
650,47500,40000
633,51000,38000
653,52000,40000
615,35000,30000
628,39000,34000
651,52500,40000
666,53000,48000
639,51000,40000
652,57500,40000
664,56000,44000
626,44000,34000
597,38000,28000
618,40000,32000
637,48000,37000
640,50000,40000
641,47000,38000
599,38000,28000
610,41000,30000
671,65000,55000
629,46000,36000
665,57000,44000
600,34000,28000
617,46000,36000
638,55000,44000
658,62500,50000
608,45000,36000
660,50000,40000
672,75000,60000
609,50000,36000
619,45000,36000
595,45000,32000
635,50000,40000
642,65000,48000
643,54000,44000
593,40000,32000
668,70000,55000
655,66000,52000
675,65000,54000
676,72500,55000
686,82000,67000
692,101250,75000
693,85000,75000
694,90000,80000
695,90000,80000
696,90000,80000
697,141000,116000
677,70000,60000
683,80000,65000
678,70000,60000
688,120000,90000
690,100000,90000
691,106250,80000
684,81000,66000
680,85000,72000
679,80000,64000
963,52000,40000
959,38000,31000
971,24500,22000
987,50000,40000
590,22000,18000
594,35000,29000
598,39000,31000
964,87000,76000
681,76000,66000
644,51000,46000
606,33000,28000
621,42000,32000
625,45000,34000
622,42000,32000
612,42000,32000
601,34000,28000
602,34000,28000
603,34000,28000
605,34000,28000
604,34000,28000
613,40000,30000
636,49000,36000
616,55000,40000
1004,130000,100000
1009,120000,90000
1010,55000,44000
